# Curated muscle facts. One muscle per line:
#   Name (exactly as in manifest.json) | origin ; origin | insertion ; insertion | action ; action | innervation | joint.movement.P/A, ...
# P = prime mover, A = assists. Joint and movement slugs come from web/data/vocab.json. "A = B" makes A an alias of B.
# Standard textbook values (Gray's / Moore / Netter); keep every field short. Build with tools/build_muscle_facts.py.

## ---- shoulder girdle and thorax
Descending part of trapezius muscle | Superior nuchal line, external occipital protuberance, nuchal ligament | Lateral third of clavicle, acromion | Elevates scapula; upward rotation; extends and laterally flexes neck | Accessory n. (CN XI), C3–C4 | scapulothoracic.elevation.P, scapulothoracic.upward-rotation.P, cervical-spine.extension.A, cervical-spine.lateral-flexion.A
Iliocostalis thoracis muscle | Angles of ribs 7–12 | Angles of ribs 1–6, transverse process of C7 | Extends and laterally flexes thoracic spine | Dorsal rami of spinal nn. | thoracic-spine.extension.P, thoracic-spine.lateral-flexion.P
Iliocostalis colli muscle | Angles of ribs 3–6 | Transverse processes of C4–C6 | Extends and laterally flexes neck | Dorsal rami of spinal nn. | cervical-spine.extension.P, cervical-spine.lateral-flexion.P
Longissimus thoracis muscle | Common tendon, lumbar and lower thoracic transverse processes | Transverse processes T1–T12, ribs 3–12 | Extends and laterally flexes spine | Dorsal rami of spinal nn. | thoracic-spine.extension.P, lumbar-spine.extension.P, thoracic-spine.lateral-flexion.P
Longissimus colli muscle | Transverse processes of T1–T5 | Transverse processes of C2–C6 | Extends and laterally flexes neck | Dorsal rami of spinal nn. | cervical-spine.extension.P, cervical-spine.lateral-flexion.P
Longissimus capitis muscle | Transverse processes T1–T5, articular processes C4–C7 | Mastoid process | Extends head and neck; rotates head to same side | Dorsal rami of spinal nn. | cervical-spine.extension.P, atlanto-occipital.extension.A, cervical-spine.lateral-flexion.A
Spinalis thoracis muscle | Spinous processes T11–L2 | Spinous processes T1–T8 | Extends thoracic spine | Dorsal rami of spinal nn. | thoracic-spine.extension.P
Spinalis colli muscle | Nuchal ligament, spinous processes C7–T2 | Spinous process of axis | Extends neck | Dorsal rami of spinal nn. | cervical-spine.extension.P
Spinalis capitis muscle | Spinous processes lower cervical and upper thoracic vertebrae | Occipital bone (with semispinalis capitis) | Extends head and neck | Dorsal rami of spinal nn. | cervical-spine.extension.P
Semispinalis thoracis muscle | Transverse processes T6–T10 | Spinous processes C6–T4 | Extends thoracic spine; rotates to opposite side | Dorsal rami of spinal nn. | thoracic-spine.extension.P, thoracic-spine.rotation.A
Semispinalis colli muscle | Transverse processes T1–T6 | Spinous processes C2–C5 | Extends neck; rotates to opposite side | Dorsal rami of spinal nn. | cervical-spine.extension.P, cervical-spine.rotation.A
Multifidus lumborum muscle | Sacrum, posterior superior iliac spine, mamillary processes L1–L5 | Spinous processes 2–4 segments above | Extends and stabilises spine; rotates to opposite side | Dorsal rami of spinal nn. | lumbar-spine.extension.A, lumbar-spine.rotation.A
Multifidus thoracis muscle | Transverse processes T1–T12 | Spinous processes 2–4 segments above | Extends and stabilises spine; rotates to opposite side | Dorsal rami of spinal nn. | thoracic-spine.extension.A, thoracic-spine.rotation.A
Multifidus colli muscle | Articular processes C4–C7 | Spinous processes 2–4 segments above | Extends and stabilises neck; rotates to opposite side | Dorsal rami of spinal nn. | cervical-spine.extension.A, cervical-spine.rotation.A
Rotatores | Transverse process of each vertebra | Spinous process of vertebra above | Rotate and extend spine; proprioceptive role | Dorsal rami of spinal nn. | thoracic-spine.rotation.A
Interspinales lumborum muscles | Spinous process | Spinous process of vertebra above | Extend and stabilise lumbar spine | Dorsal rami of spinal nn. | lumbar-spine.extension.A
Interspinales thoracis muscles | Spinous process | Spinous process of vertebra above | Extend and stabilise thoracic spine | Dorsal rami of spinal nn. | thoracic-spine.extension.A
Interspinales colli muscles | Spinous process | Spinous process of vertebra above | Extend and stabilise neck | Dorsal rami of spinal nn. | cervical-spine.extension.A
Dorsal parts of lateral intertransversarii lumborum muscles | Transverse process | Transverse process above | Laterally flex and stabilise lumbar spine | Dorsal rami of spinal nn. | lumbar-spine.lateral-flexion.A
Ventral parts of lateral intertransversarii lumborum muscles | Transverse process | Transverse process above | Laterally flex and stabilise lumbar spine | Ventral rami of spinal nn. | lumbar-spine.lateral-flexion.A
Levatores breves costarum | Transverse processes C7–T11 | Rib below (angle) | Elevate ribs; extend and laterally flex spine | Dorsal rami of C8–T11 |
Levatores longi costarum | Transverse processes C7–T11 | Rib two below (angle) | Elevate ribs; extend and laterally flex spine | Dorsal rami of C8–T11 |
Serratus posterior superior muscle | Nuchal ligament, spinous processes C7–T3 | Upper borders of ribs 2–5 | Elevates ribs | Intercostal nn. (T1–T4) | thoracic-cage.pump-handle.A
Serratus posterior inferior muscle | Spinous processes T11–L2 | Lower borders of ribs 9–12 | Depresses ribs | Intercostal nn. (T9–T12) |
External intercostal muscles | Lower border of rib above | Upper border of rib below | Elevate ribs (inspiration); stiffen intercostal space | Intercostal nn. (T1–T11) | thoracic-cage.pump-handle.P, thoracic-cage.bucket-handle.P
Internal intercostal muscles | Costal groove of rib above | Upper border of rib below | Depress ribs (forced expiration); stiffen intercostal space | Intercostal nn. (T1–T11) |
Innermost intercostal muscles | Inner surface of rib above | Inner surface of rib below | Depress ribs; stiffen intercostal space | Intercostal nn. (T1–T11) |
Transversus thoracis muscle | Posterior xiphoid and lower sternum | Costal cartilages 2–6 | Depresses ribs (forced expiration) | Intercostal nn. (T2–T6) |
Diaphragm | Xiphoid process, costal cartilages 7–12, L1–L3 (crura) | Central tendon | Main muscle of inspiration; lowers and flattens dome | Phrenic n. (C3–C5) | thoracic-cage.bucket-handle.P, thoracic-cage.pump-handle.A

## ---- neck
Scalenus anterior muscle | Anterior tubercles of C3–C6 | Scalene tubercle of 1st rib | Elevates 1st rib; flexes and laterally flexes neck | Anterior rami of C4–C6 | cervical-spine.lateral-flexion.P, cervical-spine.flexion.A, thoracic-cage.pump-handle.A
Scalenus medius muscle | Transverse processes of C2–C7 | 1st rib, behind subclavian groove | Elevates 1st rib; laterally flexes neck | Anterior rami of C3–C8 | cervical-spine.lateral-flexion.P, thoracic-cage.pump-handle.A
Scalenus posterior muscle | Transverse processes of C4–C6 | Outer surface of 2nd rib | Elevates 2nd rib; laterally flexes neck | Anterior rami of C6–C8 | cervical-spine.lateral-flexion.P, thoracic-cage.pump-handle.A
Sternocleidomastoid muscle | Manubrium, medial third of clavicle | Mastoid process, lateral superior nuchal line | Laterally flexes neck (same side), rotates it to opposite side; both sides flex neck | Accessory n. (CN XI); C2–C3 | cervical-spine.lateral-flexion.P, cervical-spine.rotation.P, cervical-spine.flexion.P, atlanto-occipital.extension.A
Longus colli muscle | Anterior tubercles and bodies of C3–T3 | Anterior arch of atlas, bodies of C2–C4 | Flexes neck; assists rotation | Anterior rami of C2–C6 | cervical-spine.flexion.P, cervical-spine.rotation.A
Longus capitis muscle | Anterior tubercles of C3–C6 | Basilar part of occipital bone | Flexes head and neck | Anterior rami of C1–C3 | atlanto-occipital.flexion.P, cervical-spine.flexion.A
Rectus anterior capitis muscle | Lateral mass of atlas | Basilar part of occipital bone | Flexes head at atlanto-occipital joint | Anterior rami of C1–C2 | atlanto-occipital.flexion.P
Rectus lateralis capitis muscle | Transverse process of atlas | Jugular process of occipital bone | Laterally flexes head | Anterior rami of C1–C2 | atlanto-occipital.lateral-flexion.P
Rectus posterior major capitis muscle | Spinous process of axis | Lateral inferior nuchal line | Extends head; rotates it to same side | Suboccipital n. (C1) | atlanto-occipital.extension.P, atlanto-axial.rotation.A
Rectus posterior minor capitis muscle | Posterior tubercle of atlas | Medial inferior nuchal line | Extends head | Suboccipital n. (C1) | atlanto-occipital.extension.P
Obliquus superior capitis muscle | Transverse process of atlas | Occipital bone above inferior nuchal line | Extends head; laterally flexes it | Suboccipital n. (C1) | atlanto-occipital.extension.P, atlanto-occipital.lateral-flexion.A
Obliquus inferior capitis muscle | Spinous process of axis | Transverse process of atlas | Rotates atlas (head turns to same side) | Suboccipital n. (C1) | atlanto-axial.rotation.P
Splenius capitis muscle | Nuchal ligament, spinous processes C7–T3 | Mastoid process, lateral superior nuchal line | Extends head and neck; rotates and laterally flexes to same side | Dorsal rami of C2–C5 | cervical-spine.extension.P, cervical-spine.rotation.P, cervical-spine.lateral-flexion.P
Splenius colli muscle | Spinous processes T3–T6 | Transverse processes of C1–C3 | Extends neck; rotates and laterally flexes to same side | Dorsal rami of C2–C5 | cervical-spine.extension.P, cervical-spine.rotation.P, cervical-spine.lateral-flexion.P
Sternohyoid muscle | Manubrium, medial clavicle | Body of hyoid | Depresses hyoid | Ansa cervicalis (C1–C3) |
Sternothyroid muscle | Posterior manubrium | Oblique line of thyroid cartilage | Depresses larynx | Ansa cervicalis (C2–C3) |
Thyrohyoid muscle | Oblique line of thyroid cartilage | Greater horn and body of hyoid | Depresses hyoid or elevates larynx | C1 via hypoglossal n. |
Omohyoid muscle | Superior border of scapula | Body of hyoid (lateral part) | Depresses and retracts hyoid | Ansa cervicalis (C1–C3) |
Anterior belly of digastric muscle | Digastric fossa of mandible | Intermediate tendon, hyoid | Depresses mandible; elevates hyoid | Nerve to mylohyoid (CN V3) | temporomandibular.depression.P
Posterior belly of digastric muscle | Mastoid notch of temporal bone | Intermediate tendon, hyoid | Elevates and retracts hyoid | Facial n. (CN VII) |
Mylohyoid muscle | Mylohyoid line of mandible | Body of hyoid, median raphe | Elevates hyoid and floor of mouth; depresses mandible | Nerve to mylohyoid (CN V3) | temporomandibular.depression.A
Geniohyoid muscle | Inferior mental spine of mandible | Body of hyoid | Pulls hyoid forward and up; depresses mandible | C1 via hypoglossal n. | temporomandibular.depression.A
Stylohyoid muscle | Styloid process | Body of hyoid | Elevates and retracts hyoid | Facial n. (CN VII) |
Platysma | Fascia over pectoralis major and deltoid | Lower border of mandible, skin of lower face | Depresses mandible and lower lip; tenses neck skin | Cervical branch of facial n. (CN VII) | temporomandibular.depression.A

## ---- mastication, face, orbit, tongue
Temporalis muscle | Temporal fossa and fascia | Coronoid process and anterior ramus of mandible | Elevates and retracts mandible | Deep temporal nn. (CN V3) | temporomandibular.elevation.P, temporomandibular.retrusion.P
Superficial part of masseter | Anterior two-thirds of zygomatic arch | Lateral ramus and angle of mandible | Elevates and protrudes mandible | Masseteric n. (CN V3) | temporomandibular.elevation.P, temporomandibular.protrusion.A
Deep part of masseter | Posterior third of zygomatic arch | Upper ramus and coronoid process | Elevates and retracts mandible | Masseteric n. (CN V3) | temporomandibular.elevation.P, temporomandibular.retrusion.A
Medial pterygoid muscle | Medial surface of lateral pterygoid plate, palatine bone | Medial surface of ramus and angle of mandible | Elevates mandible; assists protrusion and side-to-side grinding | Medial pterygoid n. (CN V3) | temporomandibular.elevation.P, temporomandibular.protrusion.A, temporomandibular.lateral-excursion.A
Superior head of lateral pterygoid muscle | Infratemporal surface of greater wing of sphenoid | Articular disc and capsule of TMJ | Steadies the disc during closing | Lateral pterygoid n. (CN V3) |
Inferior head of lateral pterygoid muscle | Lateral surface of lateral pterygoid plate | Pterygoid fovea of mandibular neck | Protrudes and depresses mandible; moves it to opposite side | Lateral pterygoid n. (CN V3) | temporomandibular.protrusion.P, temporomandibular.depression.A, temporomandibular.lateral-excursion.P
Frontalis muscle | Epicranial aponeurosis | Skin of eyebrows and forehead | Raises eyebrows; wrinkles forehead | Facial n. (CN VII) |
Occipitalis muscle | Highest nuchal line, mastoid process | Epicranial aponeurosis | Retracts scalp | Facial n. (CN VII) |
Temporoparietalis muscle | Temporal fascia | Epicranial aponeurosis | Tenses scalp; raises ears | Facial n. (CN VII) |
Procerus muscle | Nasal bone, lateral nasal cartilage | Skin between eyebrows | Draws medial eyebrows down (frown) | Facial n. (CN VII) |
Corrugator supercilii | Medial superciliary arch | Skin of eyebrow | Draws eyebrows together and down | Facial n. (CN VII) |
Orbital part of orbicularis oculi | Medial orbital margin, medial palpebral ligament | Circles orbit, blends at lateral palpebral raphe | Tightly closes eyelids | Facial n. (CN VII) |
Palpebral part of orbicularis oculi | Medial palpebral ligament | Lateral palpebral raphe | Gently closes eyelids (blink) | Facial n. (CN VII) |
Nasalis muscle | Maxilla (lateral to nasal notch) | Nasal cartilage, nasal aponeurosis | Compresses nostrils; flares nostrils | Facial n. (CN VII) |
Depressor septi nasi | Maxilla above central incisor | Nasal septum, alar cartilage | Pulls nasal septum down | Facial n. (CN VII) |
Levator labii superioris | Infra-orbital margin | Skin and muscle of upper lip | Elevates upper lip | Facial n. (CN VII) |
Levator anguli oris | Canine fossa of maxilla | Modiolus at angle of mouth | Elevates angle of mouth (smile) | Facial n. (CN VII) |
Zygomaticus major muscle | Zygomatic bone | Modiolus at angle of mouth | Draws angle of mouth up and back (smile) | Facial n. (CN VII) |
Zygomaticus minor muscle | Zygomatic bone (lateral surface) | Upper lip | Elevates upper lip | Facial n. (CN VII) |
Risorius muscle | Parotid fascia | Modiolus at angle of mouth | Retracts angle of mouth | Facial n. (CN VII) |
Depressor anguli oris | Oblique line of mandible | Modiolus at angle of mouth | Depresses angle of mouth | Facial n. (CN VII) |
Depressor labii inferioris | Oblique line of mandible | Skin of lower lip | Depresses lower lip | Facial n. (CN VII) |
Mentalis muscle | Incisive fossa of mandible | Skin of chin | Raises and protrudes lower lip | Facial n. (CN VII) |
Orbicularis oris muscle | Modiolus, maxilla and mandible | Lips | Closes and purses lips | Facial n. (CN VII) |
Bucinator | Alveolar processes, pterygomandibular raphe | Modiolus, lips | Compresses cheek against teeth (blowing, chewing) | Facial n., buccal branches (CN VII) |
Levator palpebrae superioris | Lesser wing of sphenoid | Upper eyelid (tarsal plate, skin) | Elevates upper eyelid | Oculomotor n. (CN III) |
Superior rectus muscle | Common tendinous ring | Superior sclera | Elevates, adducts and intorts eye | Oculomotor n. (CN III) |
Inferior rectus muscle | Common tendinous ring | Inferior sclera | Depresses, adducts and extorts eye | Oculomotor n. (CN III) |
Medial rectus muscle | Common tendinous ring | Medial sclera | Adducts eye | Oculomotor n. (CN III) |
Lateral rectus muscle | Common tendinous ring | Lateral sclera | Abducts eye | Abducens n. (CN VI) |
Superior oblique muscle | Body of sphenoid (above optic canal) | Sclera via trochlea (posterolateral) | Intorts, depresses and abducts eye | Trochlear n. (CN IV) |
Inferior oblique muscle | Orbital surface of maxilla | Lateral sclera (posterior) | Extorts, elevates and abducts eye | Oculomotor n. (CN III) |
Genioglossus muscle | Superior mental spine of mandible | Tongue (whole length), hyoid | Protrudes and depresses tongue | Hypoglossal n. (CN XII) |
Hyoglossus muscle | Body and greater horn of hyoid | Side of tongue | Depresses and retracts tongue | Hypoglossal n. (CN XII) |

## ---- pharynx, larynx, pelvic floor
Superior pharyngeal constrictor | Pterygoid hamulus, pterygomandibular raphe, mylohyoid line | Pharyngeal raphe | Constricts pharynx (swallowing) | Pharyngeal plexus (CN X) |
Middle pharyngeal constrictor | Greater and lesser horns of hyoid, stylohyoid ligament | Pharyngeal raphe | Constricts pharynx (swallowing) | Pharyngeal plexus (CN X) |
Inferior pharyngeal constrictor | Thyroid and cricoid cartilages | Pharyngeal raphe | Constricts pharynx (swallowing) | Pharyngeal plexus (CN X); external laryngeal n. |
Palatopharyngeus muscle | Hard palate, palatine aponeurosis | Pharyngeal wall, thyroid cartilage | Elevates pharynx and larynx; closes nasopharynx | Pharyngeal plexus (CN X) |
Stylopharyngeus muscle | Styloid process | Pharyngeal wall, thyroid cartilage | Elevates pharynx and larynx | Glossopharyngeal n. (CN IX) |
Posterior crico-arytenoid muscle | Posterior surface of cricoid lamina | Muscular process of arytenoid | Abducts vocal folds (opens glottis) | Recurrent laryngeal n. (CN X) |
Lateral crico-arytenoid muscle | Arch of cricoid cartilage | Muscular process of arytenoid | Adducts vocal folds | Recurrent laryngeal n. (CN X) |
Transverse arytenoid muscle | Posterior surface of arytenoid | Opposite arytenoid | Adducts arytenoids (closes back of glottis) | Recurrent laryngeal n. (CN X) |
Ary-epiglottic part of oblique arytenoid muscle | Posterior surface of arytenoid | Apex of opposite arytenoid, aryepiglottic fold | Narrows laryngeal inlet | Recurrent laryngeal n. (CN X) |
External part of thyro-arytenoid muscle | Inner surface of thyroid angle | Anterolateral arytenoid | Relaxes and shortens vocal folds | Recurrent laryngeal n. (CN X) |
Thyro-epiglottic part of thyro-arytenoid muscle | Inner surface of thyroid angle | Epiglottis, aryepiglottic fold | Widens laryngeal inlet | Recurrent laryngeal n. (CN X) |
Straight part of cricothyroid muscle | Anterior cricoid arch | Lower border of thyroid lamina | Tenses vocal folds (raises pitch) | External laryngeal n. (CN X) |
Oblique part of cricothyroid muscle | Anterior cricoid arch | Inferior horn of thyroid cartilage | Tenses vocal folds (raises pitch) | External laryngeal n. (CN X) |
Pubococcygeus muscle | Posterior pubis, tendinous arch | Coccyx, anococcygeal raphe | Supports pelvic viscera; holds continence | Nerve to levator ani (S3–S4); pudendal n. |
Iliococcygeus muscle | Tendinous arch of levator ani | Coccyx, anococcygeal raphe | Supports pelvic viscera | Nerve to levator ani (S3–S4) |
Pubo-analis muscle | Posterior pubis | Anal canal wall | Supports and lifts anal canal | Nerve to levator ani (S3–S4) |
Coccygeus muscle | Ischial spine | Lateral coccyx and lower sacrum | Supports pelvic floor; flexes coccyx | Anterior rami of S4–S5 |
External anal sphincter | Perineal body, coccyx | Encircles anal canal | Closes anal canal (voluntary) | Pudendal n., inferior rectal branch (S2–S4) |
